full_text,cleasing,Tokenization and Case Folfing,Filtering/stopword removal,stemming data
"Terlepas dr bener atau ga nya, tp turut prihatin..   Nah yg mau manfaatin ini bs bawa lg korbannya k acara debat capres..",Terlepas dr bener atau ga nya tp turut prihatin   Nah yg mau manfaatin ini bs bawa lg korbannya k acara debat capres,"['terlepas', 'dr', 'bener', 'atau', 'ga', 'nya', 'tp', 'turut', 'prihatin', 'nah', 'yg', 'mau', 'manfaatin', 'ini', 'bs', 'bawa', 'lg', 'korbannya', 'k', 'acara', 'debat', 'capres']","['terlepas', 'dr', 'bener', 'ga', 'nya', 'tp', 'prihatin', 'yg', 'manfaatin', 'bs', 'bawa', 'lg', 'korbannya', 'k', 'acara', 'debat', 'capres']",lepas dr bener ga nya tp prihatin yg manfaatin bs bawa lg korban k acara debat capres
"@Heraloebss Anis bisa dgn mudah mengelabui pendengar. Setelah nnton debat capres aku jadi milih anis"" ucap org yg ga mampu berfikir logis dan malas mencari fakta. Padahal di debat itu anis jelas melakukan hal lucu, membawa org tua harun yg ktanya pendukung prabowo. Padahal si harun masi SMP""",Heraloebss Anis bisa dgn mudah mengelabui pendengar Setelah nnton debat capres aku jadi milih anis ucap org yg ga mampu berfikir logis dan malas mencari fakta Padahal di debat itu anis jelas melakukan hal lucu membawa org tua harun yg ktanya pendukung prabowo Padahal si harun masi SMP,"['heraloebss', 'anis', 'bisa', 'dgn', 'mudah', 'mengelabui', 'pendengar', 'setelah', 'nnton', 'debat', 'capres', 'aku', 'jadi', 'milih', 'anis', 'ucap', 'org', 'yg', 'ga', 'mampu', 'berfikir', 'logis', 'dan', 'malas', 'mencari', 'fakta', 'padahal', 'di', 'debat', 'itu', 'anis', 'jelas', 'melakukan', 'hal', 'lucu', 'membawa', 'org', 'tua', 'harun', 'yg', 'ktanya', 'pendukung', 'prabowo', 'padahal', 'si', 'harun', 'masi', 'smp']","['heraloebss', 'anis', 'dgn', 'mudah', 'mengelabui', 'pendengar', 'nnton', 'debat', 'capres', 'milih', 'anis', 'org', 'yg', 'ga', 'berfikir', 'logis', 'malas', 'mencari', 'fakta', 'debat', 'anis', 'lucu', 'membawa', 'org', 'tua', 'harun', 'yg', 'ktanya', 'pendukung', 'prabowo', 'si', 'harun', 'masi', 'smp']",heraloebss anis dgn mudah kelabu dengar nnton debat capres milih anis org yg ga berfikir logis malas cari fakta debat anis lucu bawa org tua harun yg ktanya dukung prabowo si harun mas smp
"@BabehAldoAje135 meja podiumnya kasi yg transparan. nahh, kalo buat debat capres ke-2 kasi meja podium yg pake spike atau barpwire.",BabehAldoAje meja podiumnya kasi yg transparan nahh kalo buat debat capres ke kasi meja podium yg pake spike atau barpwire,"['babehaldoaje', 'meja', 'podiumnya', 'kasi', 'yg', 'transparan', 'nahh', 'kalo', 'buat', 'debat', 'capres', 'ke', 'kasi', 'meja', 'podium', 'yg', 'pake', 'spike', 'atau', 'barpwire']","['babehaldoaje', 'meja', 'podiumnya', 'kasi', 'yg', 'transparan', 'nahh', 'kalo', 'debat', 'capres', 'kasi', 'meja', 'podium', 'yg', 'pake', 'spike', 'barpwire']",babehaldoaje meja podium kasi yg transparan nahh kalo debat capres kasi meja podium yg pake spike barpwire
Tetap dukung dengan santun 🤟 DebatCapres DebatCapres2023 GanjarMahfud2024 #Ganjarpranowo mohmahfudmd EzI7K5Bjuc   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,Tetap dukung dengan santun 🤟 DebatCapres DebatCapres GanjarMahfud Ganjarpranowo mohmahfudmd EzIKBjuc   GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,"['tetap', 'dukung', 'dengan', 'santun', '🤟', 'debatcapres', 'debatcapres', 'ganjarmahfud', 'ganjarpranowo', 'mohmahfudmd', 'ezikbjuc', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']","['dukung', 'santun', '🤟', 'debatcapres', 'debatcapres', 'ganjarmahfud', 'ganjarpranowo', 'mohmahfudmd', 'ezikbjuc', 'ganjarbersih', 'kuatkankpk', 'hebat', 'ganjar', 'presidenku', 'lanjutgan', 'bansos', 'rakyat']",dukung santun  debatcapres debatcapres ganjarmahfud ganjarpranowo mohmahfudmd ezikbjuc ganjarbersih kuatkankpk hebat ganjar presiden lanjutgan bansos rakyat
"Belajar dari @SBYudhoyono membuka gagasan,. #DebatCapres 2004,.",Belajar dari SBYudhoyono membuka gagasan DebatCapres ,"['belajar', 'dari', 'sbyudhoyono', 'membuka', 'gagasan', 'debatcapres']","['belajar', 'sbyudhoyono', 'membuka', 'gagasan', 'debatcapres']",ajar sbyudhoyono buka gagas debatcapres
Lihat kehebatan isteri Ganjar nyinyir soalnya capres dukunganmu jomblo apalagi bini cawapresnya mana bisa ? Mungkin sama ngantuknya dg suaminya samsul blimbing sayur diajak debat pilih kabur.,Lihat kehebatan isteri Ganjar nyinyir soalnya capres dukunganmu jomblo apalagi bini cawapresnya mana bisa  Mungkin sama ngantuknya dg suaminya samsul blimbing sayur diajak debat pilih kabur,"['lihat', 'kehebatan', 'isteri', 'ganjar', 'nyinyir', 'soalnya', 'capres', 'dukunganmu', 'jomblo', 'apalagi', 'bini', 'cawapresnya', 'mana', 'bisa', 'mungkin', 'sama', 'ngantuknya', 'dg', 'suaminya', 'samsul', 'blimbing', 'sayur', 'diajak', 'debat', 'pilih', 'kabur']","['lihat', 'kehebatan', 'isteri', 'ganjar', 'nyinyir', 'capres', 'dukunganmu', 'jomblo', 'bini', 'cawapresnya', 'ngantuknya', 'dg', 'suaminya', 'samsul', 'blimbing', 'sayur', 'diajak', 'debat', 'pilih', 'kabur']",lihat hebat isteri ganjar nyinyir capres dukung jomblo bini cawapresnya ngantuknya dg suami samsul blimbing sayur ajak debat pilih kabur
"Iya jg y terakhir kali w vidiokol ngp kek jd timses debat capres adu gagasan, dicecer, pundung....  [Apa apa, halo halo, sinyal putus putus, apa apa]   *ibu kos mtiin wifi*",Iya jg y terakhir kali w vidiokol ngp kek jd timses debat capres adu gagasan dicecer pundung  Apa apa halo halo sinyal putus putus apa apa   ibu kos mtiin wifi,"['iya', 'jg', 'y', 'terakhir', 'kali', 'w', 'vidiokol', 'ngp', 'kek', 'jd', 'timses', 'debat', 'capres', 'adu', 'gagasan', 'dicecer', 'pundung', 'apa', 'apa', 'halo', 'halo', 'sinyal', 'putus', 'putus', 'apa', 'apa', 'ibu', 'kos', 'mtiin', 'wifi']","['iya', 'jg', 'y', 'kali', 'w', 'vidiokol', 'ngp', 'kek', 'jd', 'timses', 'debat', 'capres', 'adu', 'gagasan', 'dicecer', 'pundung', 'halo', 'halo', 'sinyal', 'putus', 'putus', 'kos', 'mtiin', 'wifi']",iya jg y kali w vidiokol ngp kek jd timses debat capres adu gagas cecer pundung halo halo sinyal putus putus kos mtiin wifi
"Termasuk iki:👇 Nyapres gk mau mundur dari menteri, Nyawapres gk mau mundur dari walikot Batas usia 40 jd ribut.. Ajudan ikut debat capres..  Masih ada lagi ndak?😄😄",Termasuk iki Nyapres gk mau mundur dari menteri Nyawapres gk mau mundur dari walikot Batas usia  jd ribut Ajudan ikut debat capres  Masih ada lagi ndak,"['termasuk', 'iki', 'nyapres', 'gk', 'mau', 'mundur', 'dari', 'menteri', 'nyawapres', 'gk', 'mau', 'mundur', 'dari', 'walikot', 'batas', 'usia', 'jd', 'ribut', 'ajudan', 'ikut', 'debat', 'capres', 'masih', 'ada', 'lagi', 'ndak']","['iki', 'nyapres', 'gk', 'mundur', 'menteri', 'nyawapres', 'gk', 'mundur', 'walikot', 'batas', 'usia', 'jd', 'ribut', 'ajudan', 'debat', 'capres', 'ndak']",iki nyapres gk mundur menteri nyawapres gk mundur walikot batas usia jd ribut ajudan debat capres ndak
"@detikcom Ketertarikkan JK sdh Semangkin bulat ke Anis Baswedan sejak melihat debat Capres pertama, dimana Anis membabat habis lawan - lawan debatnya tak berkutik.""",detikcom Ketertarikkan JK sdh Semangkin bulat ke Anis Baswedan sejak melihat debat Capres pertama dimana Anis membabat habis lawan  lawan debatnya tak berkutik,"['detikcom', 'ketertarikkan', 'jk', 'sdh', 'semangkin', 'bulat', 'ke', 'anis', 'baswedan', 'sejak', 'melihat', 'debat', 'capres', 'pertama', 'dimana', 'anis', 'membabat', 'habis', 'lawan', 'lawan', 'debatnya', 'tak', 'berkutik']","['detikcom', 'ketertarikkan', 'jk', 'sdh', 'semangkin', 'bulat', 'anis', 'baswedan', 'debat', 'capres', 'dimana', 'anis', 'membabat', 'habis', 'lawan', 'lawan', 'debatnya', 'berkutik']",detikcom tarik jk sdh semangkin bulat anis baswedan debat capres mana anis babat habis lawan lawan debat kutik
"@democrazymedia Semoga nanti debat capres cawapres kembali tanpa mimbar,sehingga hindari main contek saat debat",democrazymedia Semoga nanti debat capres cawapres kembali tanpa mimbarsehingga hindari main contek saat debat,"['democrazymedia', 'semoga', 'nanti', 'debat', 'capres', 'cawapres', 'kembali', 'tanpa', 'mimbarsehingga', 'hindari', 'main', 'contek', 'saat', 'debat']","['democrazymedia', 'semoga', 'debat', 'capres', 'cawapres', 'mimbarsehingga', 'hindari', 'main', 'contek', 'debat']",democrazymedia moga debat capres cawapres mimbarsehingga hindar main contek debat
