created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 13 13:41:40 +0000 2023;1,71283E+18;1. #TemanPemilih, Ketua Divisi Sosialisasi, Pendidikan Pemilih, dan Partisipasi Masyarakat KPU Provinsi Jawa Barat Hedi Ardia menjadi narasumber dalam acara Wayang Golek dengan tema Tahapan Kampanye Pemilu 2024 yang diselenggarakan TVRI Stasiun Jawa Barat. Kamis (12/10/2023)... https://t.co/6cIHGxnkfG;0;1;0;0;in;2799271884;1,71283E+18;kpu_jabarprov;https://twitter.com/kpu_jabarprov/status/1712825935039201656
Fri Oct 13 13:30:34 +0000 2023;1,71282E+18;2. Shine River Ciwidey, Kabupaten Bandung.  Materi pada acara ini membahas tentang Fungsi Saksi dalam Pungut Hitung Pemilu 2024 serta Pelanggaran dalam Pemilu yang disampaikan oleh Koordinator Divisi Penanganan Pelanggaran dan Data Informasi Bawaslu Kab. Bandung Deni Jaelani... https://t.co/bGH2Aa9rcz;0;1;0;0;in;2799271884;1,71282E+18;kpu_jabarprov;https://twitter.com/kpu_jabarprov/status/1712823144275181624
Fri Oct 13 13:23:34 +0000 2023;1,71282E+18;2.  Rapat yang dipimpin Pj. Sekretaris Daerah Provinsi Jawa Barat dalam rangka persiapan menjelang masa kampanye Pemilu Serentak tahun 2024 ini turut serta dihadiri perwakilan Pemangku Kepentingan tingkat Provinsi Jawa Barat. . . #KPUMelayani #PemiluSerentak2024 #AkurSauyunan https://t.co/l8YGlPOmUh;0;0;0;0;in;2799271884;1,71282E+18;kpu_jabarprov;https://twitter.com/kpu_jabarprov/status/1712821381325558270
Fri Oct 13 11:26:21 +0000 2023;1,71279E+18;2.  Pengamanan Pelaksanaan Pemilu Tahap Inti Tahun 2024 ini turut serta dihadiri perwakilan jajar Forkopimda tingkat Provinsi Jawa Barat. . . #KPUMelayani #PemiluSerentak2024 #AkurSauyunan https://t.co/m98XvxwcLw;0;0;0;0;in;2799271884;1,71279E+18;kpu_jabarprov;https://twitter.com/kpu_jabarprov/status/1712791881346871369
Fri Oct 13 09:03:43 +0000 2023;1,71276E+18;#TemanPemilih, gimana ya pendapat mereka yang sudah nonton film “Kejarlah Janji”?  Yuk, simak video berikut untuk tahu keseruannya. Jangan lupa juga untuk berikan suaramu pada pemilu tanggal 14 Februari 2024 nanti! . . #KPUMelayani #PemiluSerentak2024 #AkurSauyunan https://t.co/ORF8CIK0Mm;1;0;0;0;in;2799271884;1,71276E+18;kpu_jabarprov;https://twitter.com/kpu_jabarprov/status/1712755986702991592
Fri Oct 13 07:55:36 +0000 2023;1,71274E+18;Gerindra Dorong Prabowo Lebih Banyak 'Keluar Kandang' Jelang Pemilu 2024 - detikNews https://t.co/imQ2cWHh9s #Prabowo #Jokowi #PrabowoSubianto;0;0;0;0;in;1377271152;1,71274E+18;AhmadAde21;https://twitter.com/AhmadAde21/status/1712738843169083685
Fri Oct 13 07:55:35 +0000 2023;1,71274E+18;Gerindra Dorong Prabowo Lebih Banyak 'Keluar Kandang' Jelang Pemilu 2024 - detikNews https://t.co/KJXLxP7Jvi #jokowi #prabowo #prabowosubianto;0;0;0;0;in;1381206049;1,71274E+18;nurahmad____cbx;https://twitter.com/nurahmad____cbx/status/1712738839700308222
Fri Oct 13 05:02:37 +0000 2023;1,7127E+18;Kudus mendukung Prabowo-Gibran. Pemilu 2024 semakin seru! dekade08;0;0;0;0;in;1,6664E+18;1,7127E+18;ptaqiyudin;https://twitter.com/ptaqiyudin/status/1712695312232632515
Fri Oct 13 02:44:31 +0000 2023;1,71266E+18;Kudus mendukung Prabowo-Gibran. Pemilu 2024 semakin seru! dekade08;0;0;0;0;in;1,51125E+18;1,71266E+18;AfshaHafisa;https://twitter.com/AfshaHafisa/status/1712660557839663303
Fri Oct 13 02:12:22 +0000 2023;1,71265E+18;@Nicho_Silalahi Bukannya dikasi tugas baru buat persiapan pemilu 2024 Buat negosiasi pengganti penerus JKW 😁😁😁;0;0;0;0;in;1,539E+18;1,71248E+18;CNS911;https://twitter.com/CNS911/status/1712652469568995686
